	Name	Price	Provider	Review	Rating	Wifi	Breakfast	Parking	Restaurant
0	Kantipur Temple House	NPR 5,988	Expedia	888 reviews	4.5 of 5 bubbles	true	false	false	true
1	Dwarika's Hotel	NPR 26,180	Booking.com	1,195 reviews	4.5 of 5 bubbles	false	false	false	true
2	Hotel Mulberry	NPR 11,584	Expedia	104 reviews	5 of 5 bubbles	true	false	true	false
3	Kantipur Temple House	NPR 5,988	Expedia	888 reviews	4.5 of 5 bubbles	true	false	false	true
4	Aria Boutique Hotel & Spa	NPR 4,501	Expedia	324 reviews	4.5 of 5 bubbles	true	true	false	false
5	Hotel Shanker	NPR 5,938	Booking.com	1,307 reviews	4 of 5 bubbles	true	false	true	false
6	Oasis Kathmandu Hotel	NPR 3,687	Booking.com	512 reviews	5 of 5 bubbles	true	false	true	false
7	Dream Nepal Hotel and Apartment	NPR 2,633	Expedia	615 reviews	4.5 of 5 bubbles	true	true	false	false
8	Yatri Suites and Spa	NPR 6,024	Booking.com	223 reviews	4.5 of 5 bubbles	true	true	false	false
9	Hyatt Regency Kathmandu	NPR 13,638	Hotels.com	1,780 reviews	4.5 of 5 bubbles	false	false	true	false
10	Shambaling Boutique Hotel	NPR 4,037	Expedia	523 reviews	5 of 5 bubbles	true	false	true	false
11	Dalai-La Boutique Hotel	NPR 10,882	Expedia	648 reviews	5 of 5 bubbles	true	true	false	false
12	Hotel Ambassador by ACE Hotels	NPR 8,322	Expedia	60 reviews	5 of 5 bubbles	true	false	true	false
13	Kathmandu Guest House	NPR 4,976	Expedia	1,388 reviews	4 of 5 bubbles	true	true	false	false
14	Hotel Access Nepal	NPR 3,915	Booking.com	365 reviews	4.5 of 5 bubbles	true	true	false	false
15	Kathmandu Eco Hotel	NPR 2,369	Booking.com	780 reviews	5 of 5 bubbles	true	true	false	false
16	Ambassador Garden Home	NPR 4,107	Booking.com	715 reviews	4.5 of 5 bubbles	true	true	false	false
17	The Address Kathmandu Hotel	NPR 3,437	Booking.com	209 reviews	4.5 of 5 bubbles	true	true	false	false
18	Kathmandu City Hotel	NPR 2,218	Expedia	242 reviews	4.5 of 5 bubbles	true	true	false	false
19	Hotel Ganesh Himal	NPR 2,997	Booking.com	684 reviews	4.5 of 5 bubbles	true	false	false	true
20	Hotel Tibet International	NPR 9,902	Expedia	656 reviews	4.5 of 5 bubbles	true	false	true	false
21	OYO 11477 Backyard Hotel	NPR 1,842	Booking.com	638 reviews	4.5 of 5 bubbles	true	true	false	false
22	Gokarna Forest Resort	NPR 13,126	Expedia	971 reviews	4.5 of 5 bubbles	false	true	true	false
23	Maya Boutique Hotel	NPR 2,784	Booking.com	146 reviews	5 of 5 bubbles	true	true	false	false
24	Crowne Plaza Kathmandu-Soaltee	NPR 17,674	Expedia	1,016 reviews	4 of 5 bubbles	false	false	true	false
25	Fairfield by Marriott Kathmandu	NPR 8,454	Fairfield Inn	209 reviews	4.5 of 5 bubbles	true	false	true	false
26	Hotel Buddy		Expedia	78 reviews	5 of 5 bubbles	true	false	true	false
27	Maya Manor Boutique Hotel		Expedia	121 reviews	4.5 of 5 bubbles	true	false	true	false
28	Hotel Bliss International		Expedia	295 reviews	4.5 of 5 bubbles	true	false	true	false
29	Hotel Jay Suites		Agoda.com	192 reviews	4.5 of 5 bubbles	true	true	false	false
30	Alpine Hotel & Apartment		Hotels.com	359 reviews	5 of 5 bubbles	true	true	false	false
31	Hotel Siddhi Manakamana	NPR 4,353	Booking.com	27 reviews	4.5 of 5 bubbles	true	false	true	false
