Name,Price,Provider,Review,Rating,Link,Wifi,Breakfast,Parking,Restaurant,StreetAddress,ExtendedAddress,Locality,Latitude,Longitude
Kantipur Temple House, 6762,Booking.com,889,4.5,https://www.tripadvisor.com/Hotel_-g293890-d338257--Kantipur_Temple_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,"Chusyabahal, Jyatha Tol",Thamel,"Kathmandu 44600, ",27.711352,85.313079
Dwarika's Hotel, 26310,Booking.com,"1,195",4.5,https://www.tripadvisor.com/Hotel_-g293890-d310327--Dwarika_s_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,false,false,false,true,Battisputali Rd, ,"Kathmandu 44600, ",27.7060988,85.3424749
Hotel Encounter Nepal, 2334,Booking.com,"1,069",4.5,https://www.tripadvisor.com/Hotel_-g293890-d550028--Hotel_Encounter_Nepal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,Samakhusi Marg,"Thamel, Galkopakha","Kathmandu 44600, ",27.7187797,85.3122899
Trekkers' Home, 714,Booking.com,762,4.5,https://www.tripadvisor.com/Hotel_-g293890-d4341873--Trekkers_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,true,Thamel, ,"Kathmandu 44600, ",27.7153902,85.3123293
Hyatt Regency Kathmandu, 13703,Booking.com,"1,783",4.5,https://www.tripadvisor.com/Hotel_-g293890-d305970--Hyatt_Regency_Kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,false,false,true,false, ,"Taragaon, Boudha","Kathmandu 9609, ",27.721998,85.357229
Hotel Shambala, 8544,Expedia,494,4.5,https://www.tripadvisor.com/Hotel_-g293890-d5970335--Hotel_Shambala-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,true,false,Bansbari Road,"Near Narayan Gopal Chowk, Maharajgunj","Kathmandu 44606, ",27.7414136,85.3383773
Kathmandu Guest House, 5001,Expedia,"1,388",4,https://www.tripadvisor.com/Hotel_-g293890-d308288--Kathmandu_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,"no. 16 KGH Square, Ward", ,"Kathmandu 44600, ",27.7151329,85.3100489
Shree Tibet Family Guest House, 802,Booking.com,451,4.5,https://www.tripadvisor.com/Hotel_-g293890-d1224300--Shree_Tibet_Family_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,false,133 Thamel Bhagwati Marg,P.O.Box: 9299,"Kathmandu 44600, ",27.6919405,85.2945882
Hotel Family Home, 1032,TripAdvisor,617,4.5,https://www.tripadvisor.com/Hotel_-g293890-d2078030--Hotel_Family_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,false,false,false,"Ashok Galli Jytha, Thamel", ,"Kathmandu 977, ",27.7121268,85.3112171
Hotel Silver Home, 1061,Expedia,731,4.5,https://www.tripadvisor.com/Hotel_-g293890-d1539095--Hotel_Silver_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html,true,true,false,false,"Thamel, Chibahal", ,"Kathmandu 00977, ",27.7132956,85.3111405
