	StreetAddress	ExtendedAddress	Locality	Latitude	Longitude
0	Chusyabahal, Jyatha Tol	Thamel	Kathmandu 44600, 	27.711352	85.313079
1	Battisputali Rd	 	Kathmandu 44600, 	27.7060988	85.3424749
2	Samakhusi Marg	Thamel, Galkopakha	Kathmandu 44600, 	27.7187797	85.3122899
3	Thamel	 	Kathmandu 44600, 	27.7153902	85.3123293
4	 	Taragaon, Boudha	Kathmandu 9609, 	27.721998	85.35722899999999
5	Bansbari Road	Near Narayan Gopal Chowk, Maharajgunj	Kathmandu 44606, 	27.7414136	85.3383773
6	no. 16 KGH Square, Ward	 	Kathmandu 44600, 	27.7151329	85.3100489
7	133 Thamel Bhagwati Marg	P.O.Box: 9299	Kathmandu 44600, 	27.6919405	85.29458819999999
8	Ashok Galli Jytha, Thamel	 	Kathmandu 977, 	27.7121268	85.3112171
9	Thamel, Chibahal	 	Kathmandu 00977, 		
10	 	Chhushya Galli, Jyatha Road, Kantipur temple house is next to us.	Kathmandu 4600, 	27.711352	85.313079
11	Chibihal Street, Thamel	Thamel	Kathmandu 44600, 	27.713192	85.311337
12	Chusyabahal, Jyatha Tol	Thamel	Kathmandu 44600, 	27.711352	85.313079
13	Rajnikunj Gokarna	 	Kathmandu 44600, 	27.7266369	85.3982869
14	Tridevi Marg	KMC- 29, Thamel	Kathmandu 44600, 	27.7139661	85.31385619999999
15	Chhetrapati	Chhetrapati	Kathmandu 44600, 	27.7112473	85.3087748
16	Chhusya Galli	Jyatha, Thamel	Kathmandu 44600, 	27.7115146	85.31312679999999
17	Jyatha, Thamel	 	Kathmandu 44600, 	27.7117549	85.3129755
18	15 Swoyambhu	Buddha Park	Kathmandu 44600, 	27.7147791	85.2903796
19	Keshar Mahal Marg	Thamel	Kathmandu 44600, 		
20	Thamel	 	Kathmandu 44600, 		
21	Paknajol, Thamel	 	Kathmandu 6667, 	27.716776	85.308618
22	Thamel, Lekhnath Marg	Kathmandu, Nepal	Kathmandu 19549, 	27.717805	85.31134399999999
23	JP Road, Thamel	Thamel	Kathmandu 44600, 	27.7119715	85.3097835
24	Chaksibari Marg	Thamel	Kathmandu 44600, 	27.7151898	85.31036809999999
25	16 J.P. Road Chaksibarimarga	Thamel	Kathmandu 44600, 	27.712696	85.3096318
