	Name	Price	Provider	Review	Rating	Link	Wifi	Breakfast	Parking	Restaurant
0	Kantipur Temple House	NPR 6,762	Booking.com	889 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d338257-Reviews-Kantipur_Temple_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	true
1	Dwarika's Hotel	NPR 26,310	Booking.com	1,195 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d310327-Reviews-Dwarika_s_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	false	false	false	true
2	Hotel Encounter Nepal	NPR 2,334	Booking.com	1,069 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d550028-Reviews-Hotel_Encounter_Nepal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
3	Trekkers' Home	NPR 714	Booking.com	762 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d4341873-Reviews-Trekkers_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	true
4	Hyatt Regency Kathmandu	NPR 13,703	Booking.com	1,783 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d305970-Reviews-Hyatt_Regency_Kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	false	false	true	false
5	Hotel Shambala	NPR 8,544	Expedia	494 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d5970335-Reviews-Hotel_Shambala-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
6	Kathmandu Guest House	NPR 5,001	Expedia	1,388 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d308288-Reviews-Kathmandu_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
7	Shree Tibet Family Guest House	NPR 802	Booking.com	451 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1224300-Reviews-Shree_Tibet_Family_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	false
8	Hotel Family Home	NPR 1,032	TripAdvisor	617 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d2078030-Reviews-Hotel_Family_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	false
9	Hotel Silver Home	NPR 1,061	Expedia	731 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1539095-Reviews-Hotel_Silver_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
10	Hotel Friends Home	NPR 2,381	Booking.com	1,402 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d3861343-Reviews-Hotel_Friends_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
11	OYO 11477 Backyard Hotel	NPR 1,830	Expedia	639 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d2039307-Reviews-OYO_11477_Backyard_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
12	Kantipur Temple House	NPR 6,762	Booking.com	889 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d338257-Reviews-Kantipur_Temple_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	true
13	Gokarna Forest Resort	NPR 12,183	Expedia	971 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d412080-Reviews-Gokarna_Forest_Resort-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	false	true	true	false
14	Fairfield by Marriott Kathmandu	NPR 8,336	Booking.com	210 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d12182022-Reviews-Fairfield_by_Marriott_Kathmandu-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Regio.html	true	false	true	false
15	Hotel Ganesh Himal	NPR 2,515	Booking.com	685 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d799255-Reviews-Hotel_Ganesh_Himal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	true
16	Hotel Osho Home	NPR 2,170	Booking.com	455 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d7208497-Reviews-Hotel_Osho_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
17	Hotel Mulberry	NPR 11,447	Expedia	104 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d12294192-Reviews-Hotel_Mulberry-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
18	The Sparkling Turtle Backpackers Hostel	NPR 1,237	Booking.com	234 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d2258723-Reviews-The_Sparkling_Turtle_Backpackers_Hostel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Centra.html	true	true	false	false
19	Oasis Kathmandu Hotel	NPR 3,699	Booking.com	517 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d12473656-Reviews-Oasis_Kathmandu_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
20	Kathmandu Eco Hotel	NPR 3,039	Booking.com	784 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d3656307-Reviews-Kathmandu_Eco_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
21	Hotel Moonlight	NPR 5,112	Expedia	304 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d654253-Reviews-Hotel_Moonlight-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
22	Pilgrims Guest House	NPR 1,489	Booking.com	443 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1490368-Reviews-Pilgrims_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
23	Aria Boutique Hotel & Spa	NPR 4,784	Expedia	324 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d3726483-Reviews-Aria_Boutique_Hotel_Spa-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
24	Alpine Hotel & Apartment	NPR 1,893	Expedia	359 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d6996491-Reviews-Alpine_Hotel_Apartment-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
25	Hotel Horizon	NPR 1,306	Booking.com	188 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d2572772-Reviews-Hotel_Horizon-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
26	Aryatara Kathmandu Hotel	NPR 3,391	Booking.com	639 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d7614463-Reviews-Aryatara_Kathmandu_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
27	Kathmandu Boutique Hotel	NPR 1,189	Expedia	392 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d7165990-Reviews-Kathmandu_Boutique_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
28	Thamel Eco Resort	NPR 3,101	Expedia	394 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d2081408-Reviews-Thamel_Eco_Resort-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
29	Kathmandu Grand Hotel	NPR 3,313	Booking.com	889 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1224154-Reviews-Kathmandu_Grand_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
30	Hotel Mums Home Pvt Ltd	NPR 2,644	Booking.com	827 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d5484795-Reviews-Hotel_Mums_Home_Pvt_Ltd-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
